{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:12.767020" end_time: "2026-05-29 11:02:17.627592" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:12.810165" end_time: "2026-05-29 11:02:17.510214" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:12.810202" end_time: "2026-05-29 11:02:17.510229" }
{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:12.810211" end_time: "2026-05-29 11:02:17.510237" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 7 success: 7 suc_rate: 100 speed: 0.00014613778705636744 beg_time: "2026-05-29 11:02:12.720526" end_time: "2026-05-29 11:02:17.510244" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:12.810221" end_time: "2026-05-29 11:02:17.510251" }
{ stage: "Sink" name: "sink_stat" target: "kafka_sink/all_sink" wp_sink_group: "kafka_sink" wp_sink_name: "all_sink" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:13.010185" end_time: "2026-05-29 11:02:17.510208" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.729923" end_time: "2026-05-29 11:02:22.698978" }
{ stage: "Sink" name: "sink_stat" target: "kafka_sink/all_sink" wp_sink_group: "kafka_sink" wp_sink_name: "all_sink" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.811028" end_time: "2026-05-29 11:02:22.509801" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.811028" end_time: "2026-05-29 11:02:22.609785" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.811109" end_time: "2026-05-29 11:02:22.609838" }
{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.811181" end_time: "2026-05-29 11:02:22.609872" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 7 success: 7 suc_rate: 100 speed: 0.00014317856412354263 beg_time: "2026-05-29 11:02:17.721464" end_time: "2026-05-29 11:02:22.609898" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:17.811234" end_time: "2026-05-29 11:02:22.609935" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:22.802616" end_time: "2026-05-29 11:02:27.656341" }
